Metric,Mean,Std,Min,Max
Detection Accuracy — Proposed (%),96.68,0.18,86.0,100.0
Detection Accuracy — Bayesian (%),100.0,0.0,100.0,100.0
Detection Accuracy — Static (%),86.0,0.0,86.0,86.0
Packet Delivery Ratio — Proposed (%),92.03,3.21,88.01,95.08
Packet Delivery Ratio — Bayesian (%),90.71,3.47,86.0,95.49
Packet Delivery Ratio — Static (%),90.88,3.4,88.2,93.5
Residual Energy — Proposed (%),100.0,0.0,100.0,100.0
Residual Energy — Bayesian (%),100.0,0.0,100.0,100.0
Residual Energy — Static (%),100.0,0.0,100.0,100.0
