dataset_name,metric_name,mean,ci95_lower,ci95_upper
data_adv0.05_noise0.04,A,0.0,0.0,0.0
data_adv0.05_noise0.04,Brier,0.0887811556458473,0.0887811556458473,0.0887811556458473
data_adv0.05_noise0.04,C,0.95,0.95,0.95
data_adv0.05_noise0.04,ECE,0.207222830504179,0.207222830504179,0.207222830504179
data_adv0.05_noise0.04,P,0.0,0.0,0.0
data_adv0.05_noise0.04,RP,0.0,0.0,0.0
data_adv0.05_noise0.04,TI,0.7427771687507629,0.7427771687507629,0.7427771687507629
data_adv0.05_noise0.08,A,0.0,0.0,0.0
data_adv0.05_noise0.08,Brier,0.0897137001156807,0.0897137001156807,0.0897137001156807
data_adv0.05_noise0.08,C,0.95,0.95,0.95
data_adv0.05_noise0.08,ECE,0.2100888006389141,0.2100888006389141,0.2100888006389141
data_adv0.05_noise0.08,P,0.0,0.0,0.0
data_adv0.05_noise0.08,RP,0.0,0.0,0.0
data_adv0.05_noise0.08,TI,0.7399111390113831,0.7399111390113831,0.7399111390113831
data_adv0.05_noise0.12,A,0.0,0.0,0.0
data_adv0.05_noise0.12,Brier,0.0907537564635276,0.0907537564635276,0.0907537564635276
data_adv0.05_noise0.12,C,0.95,0.95,0.95
data_adv0.05_noise0.12,ECE,0.2157804590389132,0.2157804590389132,0.2157804590389132
data_adv0.05_noise0.12,P,0.0,0.0,0.0
data_adv0.05_noise0.12,RP,0.0,0.0,0.0
data_adv0.05_noise0.12,TI,0.7369991540908813,0.7369991540908813,0.7369991540908813
data_adv0.15_noise0.04,A,0.0,0.0,0.0
data_adv0.15_noise0.04,Brier,0.1349806785583496,0.1349806785583496,0.1349806785583496
data_adv0.15_noise0.04,C,0.85,0.85,0.85
data_adv0.15_noise0.04,ECE,0.1087109446525573,0.1087109446525573,0.1087109446525573
data_adv0.15_noise0.04,P,0.0,0.0,0.0
data_adv0.15_noise0.04,RP,0.0,0.0,0.0
data_adv0.15_noise0.04,TI,0.7412890791893005,0.7412890791893005,0.7412890791893005
data_adv0.15_noise0.08,A,0.0,0.0,0.0
data_adv0.15_noise0.08,Brier,0.1349764317274093,0.1349764317274093,0.1349764317274093
data_adv0.15_noise0.08,C,0.85,0.85,0.85
data_adv0.15_noise0.08,ECE,0.1119184494018554,0.1119184494018554,0.1119184494018554
data_adv0.15_noise0.08,P,0.0,0.0,0.0
data_adv0.15_noise0.08,RP,0.0,0.0,0.0
data_adv0.15_noise0.08,TI,0.7380815148353577,0.7380815148353577,0.7380815148353577
data_adv0.15_noise0.12,A,0.0,0.0,0.0
data_adv0.15_noise0.12,Brier,0.1352787166833877,0.1352787166833877,0.1352787166833877
data_adv0.15_noise0.12,C,0.85,0.85,0.85
data_adv0.15_noise0.12,ECE,0.1263088073730468,0.1263088073730468,0.1263088073730468
data_adv0.15_noise0.12,P,0.0,0.0,0.0
data_adv0.15_noise0.12,RP,0.0,0.0,0.0
data_adv0.15_noise0.12,TI,0.7348024845123291,0.7348024845123291,0.7348024845123291
data_adv0.3_noise0.04,A,0.0,0.0,0.0
data_adv0.3_noise0.04,Brier,0.2040197104215622,0.2040197104215622,0.2040197104215622
data_adv0.3_noise0.04,C,0.7,0.7,0.7
data_adv0.3_noise0.04,ECE,0.0383696854114532,0.0383696854114532,0.0383696854114532
data_adv0.3_noise0.04,P,0.0,0.0,0.0
data_adv0.3_noise0.04,RP,0.0,0.0,0.0
data_adv0.3_noise0.04,TI,0.7383696436882019,0.7383696436882019,0.7383696436882019
data_adv0.3_noise0.08,A,0.0,0.0,0.0
data_adv0.3_noise0.08,Brier,0.2029971182346344,0.2029971182346344,0.2029971182346344
data_adv0.3_noise0.08,C,0.7,0.7,0.7
data_adv0.3_noise0.08,ECE,0.0350378642082214,0.0350378642082214,0.0350378642082214
data_adv0.3_noise0.08,P,0.0,0.0,0.0
data_adv0.3_noise0.08,RP,0.0,0.0,0.0
data_adv0.3_noise0.08,TI,0.7350378632545471,0.7350378632545471,0.7350378632545471
data_adv0.3_noise0.12,A,0.0,0.0,0.0
data_adv0.3_noise0.12,Brier,0.2020997554063797,0.2020997554063797,0.2020997554063797
data_adv0.3_noise0.12,C,0.7,0.7,0.7
data_adv0.3_noise0.12,ECE,0.0315351960659027,0.0315351960659027,0.0315351960659027
data_adv0.3_noise0.12,P,0.0,0.0,0.0
data_adv0.3_noise0.12,RP,0.0,0.0,0.0
data_adv0.3_noise0.12,TI,0.7315351366996765,0.7315351366996765,0.7315351366996765
