model,seed,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,params,runtime_seconds
lstm,42,0.92,0.75,1.0,0.5,0.6666666666666666,0.8346560846560845,0.7009352976458241,70785,11.170123100280762
lstm,43,0.8933333333333333,0.6666666666666666,1.0,0.3333333333333333,0.5,0.8082010582010583,0.7035453134911791,70785,9.031406164169312
lstm,44,0.8933333333333333,0.6666666666666666,1.0,0.3333333333333333,0.5,0.7896825396825398,0.6812620250120252,70785,9.387311935424805
lstm,45,0.92,0.7837301587301587,0.875,0.5833333333333334,0.7000000000000001,0.8359788359788359,0.7167807886557888,70785,6.9392993450164795
lstm,46,0.92,0.7837301587301587,0.875,0.5833333333333334,0.7000000000000001,0.8148148148148148,0.7129673831053274,70785,8.111253023147583
lstm,47,0.9333333333333333,0.7916666666666667,1.0,0.5833333333333334,0.7368421052631579,0.9563492063492063,0.8620268620268621,70785,12.123092651367188
lstm,48,0.9066666666666666,0.7420634920634921,0.8571428571428571,0.5,0.631578947368421,0.8227513227513228,0.6854840761090762,70785,9.234623432159424
lstm,49,0.8933333333333333,0.7341269841269842,0.75,0.5,0.6,0.8624338624338626,0.711106835030795,70785,10.225253820419312
lstm,50,0.92,0.75,1.0,0.5,0.6666666666666666,0.8492063492063493,0.756139258028793,70785,10.854210376739502
lstm,51,0.92,0.7837301587301587,0.875,0.5833333333333334,0.7000000000000001,0.8015873015873016,0.7315399971260016,70785,11.004130125045776
lstm,52,0.9333333333333333,0.7916666666666667,1.0,0.5833333333333334,0.7368421052631579,0.8002645502645502,0.6995558223289317,70785,10.950384140014648
lstm,53,0.9333333333333333,0.7916666666666667,1.0,0.5833333333333334,0.7368421052631579,0.8201058201058201,0.7539585278555868,70785,9.265284776687622
lstm,54,0.9333333333333333,0.7916666666666667,1.0,0.5833333333333334,0.7368421052631579,0.9126984126984127,0.8180324074074075,70785,12.863575220108032
lstm,55,0.9066666666666666,0.7420634920634921,0.8571428571428571,0.5,0.631578947368421,0.7447089947089948,0.6563241878056637,70785,10.074473142623901
lstm,56,0.8933333333333333,0.7003968253968254,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.8201058201058201,0.6719349925762655,70785,8.982924938201904
lstm,57,0.92,0.75,1.0,0.5,0.6666666666666666,0.8201058201058201,0.7088516988100655,70785,10.013614892959595
lstm,58,0.92,0.7837301587301587,0.875,0.5833333333333334,0.7000000000000001,0.7552910052910052,0.6878840912903308,70785,9.016708374023438
lstm,59,0.8933333333333333,0.6666666666666666,1.0,0.3333333333333333,0.5,0.8478835978835979,0.7270429168844389,70785,9.037425518035889
lstm,60,0.9066666666666666,0.7420634920634921,0.8571428571428571,0.5,0.631578947368421,0.7341269841269842,0.6621364378489876,70785,8.458200931549072
lstm,61,0.8933333333333333,0.7341269841269842,0.75,0.5,0.6,0.8637566137566137,0.7263531845007527,70785,10.162100315093994
