seed,f1,roc_auc,pr_auc,balanced_accuracy,threshold,warnings
42,0.9690451697372112,0.8035667965869903,0.9849254965737189,0.5078190443324634,0.3,PR-AUC unusually high - check class imbalance or leakage
43,0.9693497335630434,0.7968491737225437,0.9844824552782943,0.5076780893556757,0.3,PR-AUC unusually high - check class imbalance or leakage
44,0.969484194788552,0.7797032695712588,0.9828336152486146,0.5049263661444109,0.3,PR-AUC unusually high - check class imbalance or leakage
45,0.9692897503372918,0.8430788996061624,0.9891471506036316,0.5089502228192699,0.3,PR-AUC unusually high - check class imbalance or leakage
46,0.9702700900300101,0.7968544238257508,0.9834426179411082,0.5050436827888671,0.3,PR-AUC unusually high - check class imbalance or leakage
47,0.9688318631381985,0.8345753923699375,0.988218665390539,0.509382809448096,0.3,PR-AUC unusually high - check class imbalance or leakage
48,0.9705431318424877,0.787426763312145,0.9830482655738617,0.5057599487075211,0.3,PR-AUC unusually high - check class imbalance or leakage
49,0.9692379616643292,0.8373640979258515,0.9887986388968028,0.5080108146464188,0.3,PR-AUC unusually high - check class imbalance or leakage
50,0.9692541938241266,0.7869774098095965,0.9835106257610171,0.5073610500350535,0.3,PR-AUC unusually high - check class imbalance or leakage
51,0.9696913077713568,0.8049552880364894,0.9854665546819934,0.50491068017429,0.3,PR-AUC unusually high - check class imbalance or leakage
52,0.9696006835507255,0.8047834114959606,0.984763787627416,0.5070400345333259,0.3,PR-AUC unusually high - check class imbalance or leakage
53,0.9690578344493899,0.8047226557060296,0.9849883685158004,0.5118272150372014,0.3,PR-AUC unusually high - check class imbalance or leakage
54,0.9694655469365413,0.7756083306167052,0.9819941040799159,0.5062395932467099,0.3,PR-AUC unusually high - check class imbalance or leakage
55,0.9694631006903182,0.8066280056615671,0.9853610654969781,0.5069030557376435,0.3,PR-AUC unusually high - check class imbalance or leakage
56,0.9694769575720367,0.8121408778208592,0.9863865716979753,0.5031434349556864,0.3,PR-AUC unusually high - check class imbalance or leakage
57,0.9698191283454582,0.7913654859604905,0.9829852255395761,0.5077015089337069,0.3,PR-AUC unusually high - check class imbalance or leakage
58,0.9691966551788623,0.8064573580054899,0.9844545620538333,0.5079697210077141,0.3,PR-AUC unusually high - check class imbalance or leakage
59,0.9686008742029915,0.8173450940963902,0.9860331647695342,0.5082653288408577,0.3,PR-AUC unusually high - check class imbalance or leakage
60,0.969975179481705,0.7771440244084504,0.9824823448164156,0.5065252606270904,0.3,PR-AUC unusually high - check class imbalance or leakage
61,0.9694776757103183,0.805935628999295,0.9859173908199043,0.5066955994535672,0.3,PR-AUC unusually high - check class imbalance or leakage
